zone,state,eaid,lga,urca_cat,entid,q102,q103,q201,q201__1,q201__2,q201__3,q201__4,q201__5,q201__6,q201__7,q201__8,q201__9,q201__10,q201__11,q201__12,q201__13,q201__14,q201__15,q201__16,q201__17,q201__18,q201__19,q201__20,q201__21,q201__22,q201__23,q201__24,q201__25,q201__96,q201_1,q202,q202__1,q202__2,q202__3,q202__4,q202__5,q202__6,q202__7,q202__8,q203,q204_1,q204_2,q205_1,q205_2,q206,q207,q207__1,q207__2,q207__3,q207__4,q207__5,q207__6,q207__7,q207__8,q207__9,q207__10,q207__11,q207__12,q207__13,q208,q208__1,q208__2,q208__3,q208__4,q208__5,q208__6,q208__7,q208__8,q208__9,q208__10,q208__11,q208__12,q208__13,q209_1,q209_2,q209_3,q210,q211,q212,q213_1,q213_2,q213_3,q213_4,q213_5,q213_5_1,q213_6,q213_6_1,q214,q214_1,q215,q215_1,q215_1__1,q215_1__2,q215_1__96,q216,q216__1,q216__2,q216__3,q216__4,q216__5,q216__6,q216__7,q216__8,q216__9,q216__10,q216__11,q216__12,q216__13,q216__96,q217,q217_1,q217_2,q301,q301__1,q301__2,q301__3,q301__4,q301__5,q301__6,q301__7,q301__8,q301__9,q301__10,q301__11,q301__12,q301__13,q301__14,q301__0,q301__96,q302,q303,q304_1,q304_2,q304_3,q304_4,q304_5,q304_6,q304_7,q304_8,q304_9,q304_10,q304_10__1,q304_10__2,q304_10__3,q304_10__4,q304_10__5,q304_10__6,q304_10__7,q304_10__0,q304_10__96,q305_1,q305_2,q305_3,q305_4,q305_5,q305_6,q305_7,q306_1,q306_2,q306_2__1,q306_2__2,q306_2__3,q306_2__4,q306_2__5,q306_2__6,q306_2__7,q306_2__8,q306_2__9,q306_2__10,q306_2__11,q306_2__12,q306_2__13,q306_3,q306_4,q306_5,q306_6,q306_7,q306_8,q306_9,q306_10,q306_11,q306_12,q307_1,q307_2,q307_2__1,q307_2__2,q307_2__3,q307_2__4,q307_2__5,q307_2__6,q307_2__7,q307_2__8,q307_2__9,q307_2__10,q307_2__11,q307_2__12,q307_2__13,q307_3,q307_4,q307_5,q307_6,q307_7,q307_8,q307_9,q307_10,q307_11,q307_12,q308,q309,q401,q401__1,q401__2,q401__3,q401__4,q401__5,q401__6,q403,q403__1,q403__2,q403__3,q403__4,q403__5,q403__6,q403__7,q403__8,q403__9,q403__10,q403__11,q403__0,q403__96,q403_1,q404,q406,q406_1,q406_1__1,q406_1__2,q406_1__3,q406_1__4,q406_1__5,q406_1__6,q406_1__7,q406_1__8,q406_1__9,q406_1__10,q406_1__11,q406_1__12,q406_1__13,q406_1__96,q406_2,q407,q501,q501__1,q501__2,q501__3,q501__4,q501__5,q501__96,q501_1,q601_1,q601_2,q601_3,q601_4,q602,q603,q604_1,q604_2,q604_3,q604_4,att_opt_a1_1,att_opt_a2_1,att_opt_a3_1,att_opt_a4_1,att_opt_a5_1,att_opt_a6_1,att_opt_b1_1,att_opt_b2_1,att_opt_b3_1,att_opt_b4_1,att_opt_b5_1,att_opt_b6_1,att_opt_a1_2,att_opt_a2_2,att_opt_a3_2,att_opt_a4_2,att_opt_a5_2,att_opt_a6_2,att_opt_b1_2,att_opt_b2_2,att_opt_b3_2,att_opt_b4_2,att_opt_b5_2,att_opt_b6_2,q605_1,q606_1,q605_2,q606_2,wtp_bid1,wtp_supply,wtp_apps,q607,wtp_bid2,q608,wtp_bid3,q609,q610,comment,validated,natweight
North West,Kano,KN_110,gezawa,<1hr to large city,f0a08f0d-d660-46c7-ba72-db65c62411b5,1,NA,8 4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,1981-02-01,07:30:00.000+01:00,22:30:00.000+01:00,8,6,6,3 4 5 6,0,0,1,1,1,1,0,0,0,0,0,0,0,7 8 9 10 11 12,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,450000,2,30000,0,71,54,14,5,NA,5,NA,0,NA,1,1,1,0,0,1 10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,1 5 6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,3,55000,10500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,9 10,0,0,0,0,0,0,0,0,1,1,0,0,0,5,5,19,0,0,99,99,2500,4,4,0,NA,1 6 3,1,0,1,0,0,1,2 6,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,0,0,0,0,NA,2,2,3,1,2,3,3,3,3,4,3,9,33000,any appliances,the grid,a group of local townspeople,3,3,100000,any appliances,a solar home system,the state electricity company,12,6,33000,lighting and phone charging,a solar microgrid,the state electricity company,6,6,3000,any appliances,the grid,a private power company,b,2,b,3,3000,grid supply,that can power all appliances,1,6000,1,9000,0,6000,The respondant cant remember the connection fee because the enterprises is 40 years,yes,0.109779068299457
North West,Kano,KN_110,gezawa,<1hr to large city,c322aa19-06be-4ab3-a6a7-b9b43cf546bf,1,NA,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,8,0,0,0,0,0,0,0,1,2015-02-01,08:00:00.000+01:00,18:00:00.000+01:00,6,6,6,8 9 7,0,0,0,0,0,0,1,1,1,0,0,0,0,11 12 1 2 3 4,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,100000,2,12000,0,45,25,14,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7 8 9,0,0,0,0,0,0,1,1,1,0,0,0,0,5,7,19,0,0,99,99,3000,2,2,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,3,3,3,3,2,9,12,100000,lighting and phone charging and fan and tv,the grid,the state electricity company,6,3,33000,any appliances,the grid,a group of local townspeople,6,9,100000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,9,3,66000,any appliances,a solar microgrid,a private power company,b,3,b,3,6000,off-grid supply,NA,1,9000,0,6000,NA,6000,respondent cant remember the amount he paid for the connection and wiring,yes,0.109779068299457
North Central,Kogi,KO_152,okehi,<1hr to int. city,51aa582c-4891-499b-8e1b-5d10d0301d71,1,NA,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2018-02-01,08:00:00.000+01:00,18:00:00.000+01:00,7,5,96,5 6 4,0,0,0,1,1,1,0,0,0,0,0,0,0,1 2 3 7 8 9 10 11 12,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,90000,2,10000,0,50,8,22,13,NA,1,NA,1,1,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7 8 9 10,0,0,0,0,0,0,1,1,1,1,0,0,0,12,0,12,1,1,7000,50000,5000,3,2,0,NA,1 3,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,6,2,2,3,2,3,9,33000,any appliances,a solar home system,a private power company,12,3,33000,any appliances,a diesel generator,a private power company,12,3,33000,lighting and phone charging,the grid,a private power company,9,3,33000,any appliances,the grid,a private power company,a,3,b,3,33000,off-grid supply,that can power all appliances,1,66000,0,33000,NA,33000,NA,yes,0.0802062472175895
North Central,Kogi,KO_152,okehi,<1hr to int. city,37ef3f57-8bd6-4d31-bd57-af28528ffea9,1,NA,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2018-02-01,08:00:00.000+01:00,18:00:00.000+01:00,7,5,6,8 6 5 3,0,0,1,0,1,1,0,1,0,0,0,0,0,1 2 4 7 9 10 11 12,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,100000,4,15000,0,35,6,22,13,NA,1,NA,1,1,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,65000,15000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6 7 8 9 10,0,0,0,0,0,1,1,1,1,1,0,0,0,12,0,12,1,0,15000,80000,10000,2,2,0,NA,1 5 6 3,1,0,1,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,6,2,2,2,2,3,12,100000,any appliances,a diesel generator,a group of local townspeople,9,3,66000,any appliances,the grid,a private power company,12,12,33000,lighting and phone charging,a diesel generator,the state electricity company,6,9,66000,any appliances,a diesel generator,a group of local townspeople,b,3,a,1,3000,grid supply,NA,1,6000,1,9000,1,20000,NA,yes,0.0802062472175895
North Central,Kogi,KO_152,okehi,<1hr to int. city,50f69dc8-2136-485c-995b-d2ba3d87eb2e,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 6 7,1,1,1,1,0,1,1,0,2021-02-01,08:00:00.000+01:00,18:00:00.000+01:00,7,5,6,1 2 3 4,1,1,1,1,0,0,0,0,0,0,0,0,0,5 6 7 8 9 10 11 12,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,200000,2,15000,1,37,4,14,13,NA,1,NA,1,1,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,60000,12000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7 8 9 10 6,0,0,0,0,0,1,1,1,1,1,0,0,0,12,7,12,0,0,10000,60000,10000,2,2,1,9000,1 3 6,1,0,1,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,6,2,2,3,2,9,6,66000,lighting and phone charging and fan and tv,a solar microgrid,a private power company,9,3,33000,any appliances,a solar home system,a private power company,6,6,66000,any appliances,a solar microgrid,a private power company,9,9,100000,any appliances,the grid,the state electricity company,b,3,a,3,33000,off-grid supply,that can power all appliances,1,66000,1,100000,0,66000,The respondent is very friendly,yes,0.0802062472175895
North Central,Kogi,KO_152,okehi,<1hr to int. city,5a11fa8a-8bca-4e19-8543-6a8859ca2bc1,1,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2010-02-01,08:00:00.000+01:00,18:00:00.000+01:00,8,6,6,4 8 6 9,0,0,0,1,0,1,0,1,1,0,0,0,0,1 2 3 5 7 10 11 12,1,1,1,0,1,0,1,0,0,1,1,1,0,0,2,0,200000,3,60000,0,45,15,14,13,NA,1,NA,1,1,1,1,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7 8 9 10,0,0,0,0,0,0,1,1,1,1,0,0,0,12,0,12,0,0,10000,30000,8000,2,2,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,3,4,1,6,2,2,2,2,9,9,3000,any appliances,a diesel generator,the state electricity company,3,6,66000,lighting and phone charging,a solar microgrid,the state electricity company,6,6,3000,lighting and phone charging and fan and tv,the grid,a private power company,9,9,3000,any appliances,the grid,a group of local townspeople,a,3,b,3,33000,grid supply,that can power all appliances,0,9000,1,33000,NA,9000,NA,yes,0.0802062472175895
North Central,Federal Capital Territory,FC_60,abaji,<1hr to large city,915d176e-b085-46c5-9c1c-5ce8c24e8c37,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6 7 8,1,1,1,1,1,1,1,1,2011-02-01,06:00:00.000+01:00,22:00:00.000+01:00,4,5,6,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,9 10 11 1 2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,500000,1,30000,0,24,5,20,3,NA,3,NA,1,1,0,NA,NA,NA,NA,1 13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1 4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,5,110,1,NA,NA,NA,7000,4,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1 3 4 2,1,1,1,1,0,0,0,0,0,0,0,0,0,5,7,19,0,0,1000,10000,500,2,2,1,700,1 3,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,3,3,2,3,9,3,3000,lighting and phone charging,the grid,a group of local townspeople,12,9,100000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,6,9,3000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,6,3,3000,lighting and phone charging,a solar home system,the state electricity company,a,2,b,2,3000,grid supply,that can power all appliances,1,6000,0,3000,NA,2000,Salary within the right value range,yes,0.0967626362965867
North Central,Federal Capital Territory,FC_60,abaji,<1hr to large city,4c9197e6-f101-474e-8562-1cc1524db457,1,NA,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6 7 8,1,1,1,1,1,1,1,1,2020-02-01,08:00:00.000+01:00,22:00:00.000+01:00,4,5,6,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,12 11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,170000,0,20000,0,40,3,22,13,NA,1,NA,0,NA,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 4 6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,4,3,3,750,1,NA,NA,NA,10000,4,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12 1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,7,23,0,0,2000,10000,1000,2,2,0,NA,1 3 6,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,3,2,2,1,3,12,9,3000,lighting and phone charging and fan and tv,a diesel generator,a private power company,12,12,100000,lighting and phone charging and fan and tv,the grid,a private power company,9,6,3000,any appliances,the grid,a private power company,12,3,100000,any appliances,the grid,a group of local townspeople,a,3,a,3,66000,grid supply,NA,0,33000,0,9000,0,3000,NA,yes,0.0967626362965867
North West,Kaduna,KD_88,makarfi,<1hr to large city,26a71f83-6b86-4a2d-a228-5de48f577855,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2020-02-01,07:00:00.000+01:00,21:00:00.000+01:00,10,10,3,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,1 2 11 12,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,150000,0,19000,0,40,7,24,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1 6 7,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3 4 5 6,0,0,1,1,1,1,0,0,0,0,0,0,0,2,7,23,0,0,2000,3000,2000,1,2,0,NA,1 3 6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,6,3,2,2,1,9,9,66000,any appliances,a solar microgrid,a group of local townspeople,6,6,100000,lighting and phone charging,a solar microgrid,a private power company,9,9,66000,any appliances,the grid,the state electricity company,9,3,66000,lighting and phone charging and fan and tv,the grid,the state electricity company,a,2,a,2,9000,grid supply,NA,0,6000,0,3000,0,2500,The real owner of the shop wasn't  available,yes,0.109779068299457
North West,Kaduna,KD_76,makarfi,<1hr to large city,685d19a0-e685-470c-a083-6d0b4e02847d,1,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Grinding Machine,8,0,0,0,0,0,0,0,1,2013-02-01,07:00:00.000+01:00,18:30:00.000+01:00,20,15,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,10 9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,650000,2,32000,0,25,5,24,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,7 96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,3,4,3,4,3,12,6,33000,lighting and phone charging and fan and tv,the grid,the state electricity company,12,3,33000,any appliances,a solar microgrid,the state electricity company,9,9,3000,lighting and phone charging,a solar microgrid,a group of local townspeople,9,3,100000,any appliances,the grid,a private power company,b,3,b,1,3000,off-grid supply,NA,1,6000,1,9000,1,9000,Entrepreneur  is using grinding machine,yes,0.109779068299457
North West,Kaduna,KD_76,makarfi,<1hr to large city,73b17dda-68eb-40aa-91b9-679867a9504a,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2014-02-01,08:00:00.000+01:00,23:00:00.000+01:00,10,7,6,8 7 6,0,0,0,0,0,1,1,1,0,0,0,0,0,11 12 1 2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,250000,2,15000,0,25,9,14,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,16000,8000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,3,6,24,0,0,1000,2500,1000,3,2,0,NA,1 3 6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,4,3,2,2,2,6,12,100000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,6,6,33000,lighting and phone charging,a solar home system,the state electricity company,12,9,66000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,6,3,33000,lighting and phone charging and fan and tv,a diesel generator,the state electricity company,a,1,a,2,66000,grid supply,that can power all appliances,0,33000,0,9000,0,5000,NA,yes,0.109779068299457
North West,Kaduna,KD_76,makarfi,<1hr to large city,81f2ab36-8b32-4485-bbe9-dbed4ef7558a,1,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2014-02-01,07:00:00.000+01:00,23:00:00.000+01:00,7,5,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0,11 12 1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,150000,0,30000,0,40,11,24,3,NA,3,NA,0,NA,0,NA,NA,NA,NA,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,1 4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,99,99,1,NA,NA,NA,5000,4,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8 9,0,0,0,0,0,0,0,1,1,0,0,0,0,2,7,22,0,0,500,4000,800,2,2,0,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,3,2,3,2,2,12,9,100000,any appliances,the grid,the state electricity company,9,3,100000,lighting and phone charging,a diesel generator,the state electricity company,6,9,3000,any appliances,a diesel generator,a group of local townspeople,6,9,33000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,a,1,a,3,100000,grid supply,that can power all appliances,0,66000,0,33000,0,7000,NA,yes,0.109779068299457
North West,Kaduna,KD_88,makarfi,<1hr to large city,d3065b5b-9e05-4209-af08-2cf2a2ec9a48,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2018-02-01,07:00:00.000+01:00,23:00:00.000+01:00,6,6,6,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,1 2 3 4 5 6 9 10 11 12,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,130000,0,23000,0,37,3,14,3,NA,3,NA,1,1,0,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3 4,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,22,0,0,2000,3000,2000,2,1,1,1000,1 3,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,98,4,1,1,1,3,12,9,3000,any appliances,a diesel generator,a private power company,3,3,3000,lighting and phone charging,the grid,the state electricity company,6,6,100000,lighting and phone charging,a diesel generator,the state electricity company,3,6,100000,lighting and phone charging,a solar microgrid,a group of local townspeople,a,2,b,1,9000,grid supply,that can power all appliances,0,6000,0,3000,1,3000,NA,yes,0.109779068299457
